datetime,code,open,close,high,low,vol,amount,ma60,ma120,ma250
2017-11-17,300059,13.12,12.86,13.46,12.75,920933.0,1212503296.0,13.75,12.93,14.50
2017-11-16,300059,13.02,13.0,13.36,12.96,580841.0,764240000.0,13.76,12.92,14.53
2017-11-15,300059,13.3,13.07,13.63,13.07,757743.0,1010305664.0,13.78,12.91,14.55
2017-11-14,300059,13.6,13.39,13.68,13.3,774786.0,1040829120.0,13.80,12.89,14.58
2017-11-13,300059,13.6,13.68,13.93,13.48,962906.0,1321181312.0,13.79,12.87,14.60
2017-11-10,300059,13.36,13.6,13.77,13.16,1050560.0,1416349824.0,13.79,12.85,14.63
2017-11-09,300059,13.2,13.35,13.6,13.14,783074.0,1047918464.0,13.78,12.83,14.65
2017-11-08,300059,12.75,13.31,13.65,12.67,1403032.0,1860595840.0,13.77,12.81,14.68
2017-11-07,300059,12.36,12.81,12.86,12.34,905302.0,1143742848.0,13.76,12.79,14.70
2017-11-06,300059,12.35,12.4,12.5,12.11,535762.0,658861184.0,13.77,12.77,14.73
2017-11-03,300059,12.2,12.35,12.44,12.1,641017.0,789034240.0,13.78,12.76,14.76
2017-11-02,300059,12.1,12.25,12.44,11.96,816828.0,997952128.0,13.79,12.75,14.79
2017-11-01,300059,12.37,12.1,12.48,12.07,688144.0,846034048.0,13.80,12.74,14.81
2017-10-31,300059,12.25,12.36,12.47,12.12,650193.0,801919488.0,13.80,12.73,14.84
2017-10-30,300059,13.26,12.3,13.27,12.22,1246727.0,1566201728.0,13.80,12.72,14.87
2017-10-27,300059,13.34,13.32,13.58,13.3,510026.0,684736576.0,13.78,12.70,14.90
2017-10-26,300059,13.39,13.39,13.64,13.27,673501.0,907606208.0,13.75,12.68,14.92
2017-10-25,300059,13.3,13.4,13.43,13.21,368274.0,491387904.0,13.72,12.66,14.95
2017-10-24,300059,13.18,13.39,13.39,13.01,514119.0,678504960.0,13.67,12.64,14.97
2017-10-23,300059,13.09,13.18,13.21,13.07,301068.0,396164384.0,13.63,12.63,14.99
2017-10-20,300059,12.88,13.08,13.15,12.78,491203.0,639874240.0,13.59,12.61,15.02
2017-10-19,300059,13.29,12.87,13.4,12.85,730346.0,959136512.0,13.55,12.59,15.04
2017-10-18,300059,13.4,13.34,13.63,13.31,723821.0,973692864.0,13.52,12.57,15.07
2017-10-17,300059,13.53,13.33,13.58,13.26,673332.0,902589056.0,13.48,12.55,15.09
2017-10-16,300059,13.87,13.55,14.14,13.46,885395.0,1219571072.0,13.43,12.53,15.12
2017-10-13,300059,13.89,14.03,14.14,13.69,618166.0,861238080.0,13.38,12.51,15.14
2017-10-12,300059,14.1,13.88,14.16,13.68,619654.0,863771584.0,13.34,12.49,15.16
2017-10-11,300059,14.28,14.13,14.44,14.11,678007.0,966587712.0,13.30,12.50,15.18
2017-10-10,300059,14.04,14.29,14.3,13.99,800618.0,1131626624.0,13.26,12.51,15.20
2017-10-09,300059,14.31,14.04,14.42,13.99,956709.0,1357219840.0,13.22,12.51,15.22
2017-09-29,300059,13.74,13.83,14.04,13.74,668289.0,928656960.0,13.18,12.52,15.24
2017-09-28,300059,13.68,13.69,13.83,13.68,543180.0,747488512.0,13.16,12.53,15.26
2017-09-27,300059,13.7,13.73,13.84,13.62,672264.0,923222976.0,13.13,12.53,15.29
2017-09-26,300059,13.39,13.75,13.76,13.3,870499.0,1179005696.0,13.11,12.54,15.31
2017-09-25,300059,13.74,13.34,13.76,13.21,761083.0,1029432320.0,13.08,12.55,15.33
2017-09-22,300059,13.68,13.79,13.92,13.38,1009656.0,1377713024.0,13.06,12.57,15.35
2017-09-21,300059,14.43,13.76,14.52,13.71,1478605.0,2094659840.0,13.04,12.58,15.37
2017-09-20,300059,14.52,14.38,14.64,14.26,1212048.0,1745953536.0,13.01,12.59,15.39
2017-09-19,300059,15.09,14.56,15.15,14.53,1158291.0,1713138816.0,12.98,12.60,15.42
2017-09-18,300059,14.58,15.06,15.06,14.56,1438562.0,2143975424.0,12.94,12.61,15.44
2017-09-15,300059,14.52,14.63,14.88,14.44,1069233.0,1568365568.0,12.89,12.61,15.46
2017-09-14,300059,14.63,14.57,14.85,14.49,840373.0,1230570240.0,12.84,12.62,15.48
2017-09-13,300059,14.43,14.63,14.65,14.36,806542.0,1170057344.0,12.79,12.63,15.50
2017-09-12,300059,14.73,14.43,15.04,14.43,1551231.0,2287479296.0,12.75,12.63,15.52
2017-09-11,300059,14.51,14.69,14.79,14.43,886619.0,1294613888.0,12.71,12.64,15.54
2017-09-08,300059,14.66,14.53,14.78,14.4,1222019.0,1776828800.0,12.68,12.65,15.56
2017-09-07,300059,15.05,14.71,15.68,14.7,2159852.0,3279884032.0,12.64,12.66,15.58
2017-09-06,300059,14.68,15.0,15.08,14.6,1156165.0,1718507392.0,12.61,12.68,15.61
2017-09-05,300059,15.0,14.67,15.14,14.67,1138623.0,1689896832.0,12.56,12.68,15.62
2017-09-04,300059,15.18,15.06,15.38,14.95,1387207.0,2104460288.0,12.53,12.69,15.65
2017-09-01,300059,14.88,15.27,15.48,14.67,1897141.0,2857524736.0,12.48,12.70,15.67
2017-08-31,300059,14.64,14.84,14.94,14.64,1116832.0,1649079552.0,12.43,12.71,15.68
2017-08-30,300059,14.74,14.69,15.11,14.62,1497585.0,2226276864.0,12.39,12.72,15.71
2017-08-29,300059,14.66,14.74,14.95,14.51,1623863.0,2388499456.0,12.36,12.73,15.73
2017-08-28,300059,14.03,14.82,15.3,13.88,3510878.0,5143302656.0,12.31,12.74,15.75
2017-08-25,300059,13.17,13.95,13.95,13.12,2081592.0,2829295360.0,12.27,12.76,15.78
2017-08-24,300059,13.14,13.21,13.32,12.95,1174896.0,1545146752.0,12.24,12.78,15.81
2017-08-23,300059,13.56,13.16,13.61,13.05,1470009.0,1955157504.0,12.21,12.80,15.84
2017-08-22,300059,13.65,13.53,13.85,13.47,1046111.0,1424826496.0,12.19,12.83,15.86
2017-08-21,300059,13.63,13.79,13.79,13.43,1173666.0,1598343296.0,12.16,12.86,15.89
2017-08-18,300059,13.93,13.68,14.06,13.62,1445710.0,1998346112.0,12.12,12.88,15.91
2017-08-17,300059,13.99,14.06,14.47,13.92,2285940.0,3239531264.0,12.08,12.90,15.93
2017-08-16,300059,13.28,14.12,14.35,13.2,3009372.0,4175917312.0,12.03,12.93,15.96
2017-08-15,300059,13.4,13.28,13.54,13.16,1407132.0,1870903936.0,11.98,12.95,15.98
