datetime,code,open,close,high,low,vol,amount,ma60,ma120,ma250
2017-11-17,600887,2124.81,2216.97,2219.09,2100.88,1415017.0,4351942144.0,1880.44,1673.26,1450.37
2017-11-16,600887,2066.41,2152.95,2156.47,2061.48,893485.0,2702607360.0,1870.45,1665.84,1446.40
2017-11-15,600887,2051.63,2066.41,2098.77,2047.41,647196.0,1900468352.0,1861.40,1659.24,1442.65
2017-11-14,600887,2159.28,2060.08,2171.95,2057.97,797444.0,2378258688.0,1853.71,1653.30,1439.25
2017-11-13,600887,2171.95,2148.02,2177.57,2132.55,665960.0,2038693120.0,1846.42,1647.19,1435.93
2017-11-10,600887,2091.74,2170.54,2181.09,2081.18,1039046.0,3166888192.0,1837.53,1640.05,1432.23
2017-11-09,600887,2101.59,2095.96,2110.73,2030.53,734246.0,2156054272.0,1827.61,1632.64,1428.40
2017-11-08,600887,2124.10,2098.77,2145.91,2075.56,844323.0,2533819136.0,1819.72,1625.92,1425.00
2017-11-07,600887,2159.98,2130.43,2208.53,2103.70,963057.0,2947010816.0,1811.84,1619.06,1421.66
2017-11-06,600887,2089.63,2158.58,2181.09,2089.63,896316.0,2728652032.0,1801.59,1611.59,1417.90
2017-11-03,600887,2028.42,2068.52,2087.52,2027.01,755418.0,2216026624.0,1790.85,1603.91,1413.97
2017-11-02,600887,1994.64,2024.19,2036.16,1992.53,585365.0,1678038528.0,1780.66,1596.89,1410.08
2017-11-01,600887,2079.78,2006.60,2086.11,1988.31,1110956.0,3212235008.0,1771.89,1590.23,1406.35
2017-10-31,600887,2096.66,2079.07,2126.92,2055.86,811406.0,2409096192.0,1763.32,1583.95,1402.67
2017-10-30,600887,2121.29,2136.06,2139.58,2065.00,639530.0,1916662784.0,1752.96,1577.03,1398.82
2017-10-27,600887,2076.96,2124.10,2131.14,2029.82,753472.0,2223299840.0,1741.56,1569.60,1394.76
2017-10-26,600887,2104.40,2092.44,2196.57,2072.74,861082.0,2610052096.0,1730.18,1562.26,1390.80
2017-10-25,600887,2093.85,2095.96,2103.70,2071.33,308452.0,916905472.0,1719.20,1555.27,1386.99
2017-10-24,600887,2075.56,2088.22,2110.03,2056.56,490807.0,1459586816.0,1708.46,1548.16,1383.05
2017-10-23,600887,2053.74,2075.56,2109.33,2053.74,419779.0,1240436352.0,1698.31,1541.51,1379.19
2017-10-20,600887,2076.96,2052.34,2082.59,2027.71,431234.0,1256745472.0,1688.56,1534.99,1375.43
2017-10-19,600887,2072.04,2093.85,2096.66,2044.60,595004.0,1754685824.0,1678.68,1528.42,1371.81
2017-10-18,600887,1965.09,2078.37,2083.29,1951.02,756970.0,2177767168.0,1668.09,1521.49,1368.03
2017-10-17,600887,1945.39,1962.98,1977.05,1937.65,410749.0,1145269632.0,1657.44,1514.64,1364.30
2017-10-16,600887,1934.84,1948.21,1993.24,1934.84,552214.0,1536567936.0,1648.69,1508.71,1361.33
2017-10-13,600887,1979.17,1941.88,1991.13,1939.76,749575.0,2087852416.0,1640.63,1502.95,1358.41
2017-10-12,600887,2001.68,2004.49,2012.23,1971.43,499048.0,1409747712.0,1632.77,1497.36,1355.52
2017-10-11,600887,1941.88,2010.12,2017.86,1941.88,516256.0,1456355584.0,1623.44,1491.13,1352.42
2017-10-10,600887,1955.24,1941.17,2021.38,1892.63,755259.0,2088629888.0,1614.37,1484.92,1349.30
2017-10-09,600887,1970.02,1955.24,1992.53,1934.84,523705.0,1465020544.0,1606.51,1479.30,1346.40
2017-09-29,600887,1885.59,1934.84,1961.58,1885.59,694549.0,1911553920.0,1597.98,1473.67,1343.51
2017-09-28,600887,1787.79,1857.45,1875.74,1780.05,572901.0,1498688000.0,1589.66,1468.29,1340.83
2017-09-27,600887,1796.23,1789.90,1823.67,1789.20,352097.0,903313344.0,1583.10,1463.53,1338.47
2017-09-26,600887,1813.82,1815.23,1821.56,1778.65,357008.0,915139200.0,1578.02,1459.18,1336.34
2017-09-25,600887,1782.16,1814.53,1825.79,1781.46,540604.0,1389581568.0,1572.30,1454.67,1334.02
2017-09-22,600887,1759.65,1781.46,1786.38,1743.47,432055.0,1086000640.0,1567.07,1450.13,1331.71
2017-09-21,600887,1758.95,1772.31,1787.09,1738.54,455245.0,1141632640.0,1562.69,1446.02,1329.54
2017-09-20,600887,1716.73,1747.69,1762.46,1716.73,534017.0,1326043648.0,1558.34,1442.11,1327.47
2017-09-19,600887,1723.06,1713.92,1725.88,1701.25,315512.0,767886912.0,1553.59,1438.28,1325.41
2017-09-18,600887,1705.47,1715.32,1738.54,1693.51,441179.0,1080583168.0,1550.01,1434.71,1323.46
2017-09-15,600887,1660.44,1705.47,1714.62,1657.63,568346.0,1370126464.0,1545.94,1431.01,1321.48
2017-09-14,600887,1660.44,1659.04,1666.78,1639.34,283218.0,665842496.0,1542.10,1427.16,1319.56
2017-09-13,600887,1659.04,1657.63,1667.48,1640.04,273119.0,642853824.0,1538.65,1423.62,1317.77
2017-09-12,600887,1644.97,1653.41,1657.63,1633.71,296873.0,694645376.0,1535.17,1420.16,1316.05
2017-09-11,600887,1666.78,1635.12,1668.89,1633.71,528361.0,1234408704.0,1530.86,1416.86,1314.48
2017-09-08,600887,1654.11,1666.07,1667.48,1643.56,269446.0,634937024.0,1527.07,1413.74,1313.03
2017-09-07,600887,1688.59,1650.59,1688.59,1649.89,390747.0,923990016.0,1522.55,1410.36,1311.30
2017-09-06,600887,1697.03,1688.59,1704.07,1675.92,355953.0,852826432.0,1518.39,1406.93,1309.76
2017-09-05,600887,1654.82,1693.51,1694.92,1654.11,593481.0,1418987520.0,1513.70,1403.13,1307.86
2017-09-04,600887,1656.93,1652.71,1671.00,1627.38,514156.0,1200649472.0,1509.57,1399.40,1305.87
2017-09-01,600887,1646.37,1646.37,1689.29,1640.74,817206.0,1935031680.0,1506.09,1395.99,1304.13
2017-08-31,600887,1632.30,1640.74,1650.59,1612.60,1118715.0,2599787520.0,1502.61,1392.53,1302.40
2017-08-30,600887,1590.09,1585.87,1602.05,1573.90,464579.0,1049682816.0,1499.28,1389.09,1300.65
2017-08-29,600887,1589.38,1587.98,1596.42,1566.87,407163.0,915497216.0,1495.42,1386.06,1299.24
2017-08-28,600887,1614.71,1586.57,1632.30,1570.39,939502.0,2130890624.0,1491.59,1383.04,1297.93
2017-08-25,600887,1596.42,1609.08,1611.19,1587.98,342997.0,780510464.0,1487.41,1380.06,1296.66
2017-08-24,600887,1629.49,1595.01,1632.30,1585.87,522187.0,1185456640.0,1483.11,1376.98,1295.20
2017-08-23,600887,1641.45,1628.78,1652.71,1622.45,221873.0,514577504.0,1479.32,1374.05,1293.89
2017-08-22,600887,1625.97,1637.23,1642.15,1621.04,320136.0,742497344.0,1474.93,1370.87,1292.23
2017-08-21,600887,1618.23,1625.97,1651.30,1616.82,288827.0,669136192.0,1470.53,1367.71,1290.40
2017-08-18,600887,1604.16,1617.53,1619.64,1601.34,327117.0,748684672.0,1466.07,1364.43,1288.62
2017-08-17,600887,1611.19,1609.79,1635.82,1604.86,328459.0,755095104.0,1461.24,1361.27,1286.87
2017-08-16,600887,1618.23,1604.86,1622.45,1592.90,347751.0,794469056.0,1457.08,1358.05,1285.06
2017-08-15,600887,1614.71,1623.15,1651.30,1611.90,595465.0,1379963904.0,1452.90,1354.80,1283.26
2017-08-14,600887,1579.53,1614.71,1674.52,1579.53,859193.0,1990670336.0,1447.96,1351.42,1281.37
2017-08-11,600887,1604.86,1575.31,1618.23,1571.09,657851.0,1490438784.0,1442.57,1348.29,1279.45
2017-08-10,600887,1611.19,1622.45,1643.56,1601.34,824927.0,1901816448.0,1437.66,1345.67,1277.63
2017-08-09,600887,1518.32,1625.97,1653.41,1518.32,1443716.0,3278947328.0,1432.12,1342.45,1275.58
2017-08-08,600887,1515.51,1515.51,1529.58,1498.62,556833.0,1200667648.0,1426.28,1339.16,1273.51
2017-08-07,600887,1452.89,1514.10,1523.25,1445.85,658301.0,1397343360.0,1421.59,1336.80,1271.75
2017-08-04,600887,1506.36,1457.11,1511.29,1455.00,536379.0,1132492800.0,1416.97,1334.45,1270.08
2017-08-03,600887,1494.40,1497.92,1511.29,1475.40,617295.0,1311019392.0,1413.11,1332.60,1268.69
2017-08-02,600887,1456.41,1492.29,1496.51,1453.59,793263.0,1675119360.0,1408.56,1330.46,1267.14
2017-08-01,600887,1451.48,1457.81,1465.55,1428.26,414640.0,856429952.0,1404.59,1328.47,1265.62
2017-07-31,600887,1443.74,1451.48,1471.89,1441.63,436609.0,903716352.0,1401.10,1326.75,1264.23
2017-07-28,600887,1433.89,1441.63,1452.89,1428.97,260198.0,533341056.0,1397.65,1324.98,1262.85
2017-07-27,600887,1451.48,1433.89,1455.70,1428.97,394897.0,806509120.0,1394.33,1323.33,1261.51
2017-07-26,600887,1478.92,1451.48,1487.36,1429.67,650994.0,1347068032.0,1391.33,1321.75,1260.14
2017-07-25,600887,1488.07,1478.92,1502.84,1474.70,442497.0,937034752.0,1387.85,1319.99,1258.64
2017-07-24,600887,1456.41,1490.88,1502.14,1447.96,690918.0,1455712512.0,1384.71,1317.95,1257.15
2017-07-21,600887,1454.30,1459.22,1474.70,1453.59,541434.0,1126781440.0,1381.42,1315.75,1255.66
