datetime,code,open,close,high,low,vol,amount,ma60,ma120,ma250
2017-11-17,600887,30.20,31.51,31.54,29.86,1415017.0,4351942144.0,26.73,23.78,20.61
2017-11-16,600887,29.37,30.60,30.65,29.30,893485.0,2702607360.0,26.58,23.68,20.56
2017-11-15,600887,29.16,29.37,29.83,29.10,647196.0,1900468352.0,26.46,23.58,20.50
2017-11-14,600887,30.69,29.28,30.87,29.25,797444.0,2378258688.0,26.35,23.50,20.46
2017-11-13,600887,30.87,30.53,30.95,30.31,665960.0,2038693120.0,26.24,23.41,20.41
2017-11-10,600887,29.73,30.85,31.00,29.58,1039046.0,3166888192.0,26.12,23.31,20.36
2017-11-09,600887,29.87,29.79,30.00,28.86,734246.0,2156054272.0,25.98,23.20,20.30
2017-11-08,600887,30.19,29.83,30.50,29.50,844323.0,2533819136.0,25.86,23.11,20.25
2017-11-07,600887,30.70,30.28,31.39,29.90,963057.0,2947010816.0,25.75,23.01,20.21
2017-11-06,600887,29.70,30.68,31.00,29.70,896316.0,2728652032.0,25.61,22.91,20.15
2017-11-03,600887,28.83,29.40,29.67,28.81,755418.0,2216026624.0,25.45,22.80,20.10
2017-11-02,600887,28.35,28.77,28.94,28.32,585365.0,1678038528.0,25.31,22.70,20.04
2017-11-01,600887,29.56,28.52,29.65,28.26,1110956.0,3212235008.0,25.18,22.60,19.99
2017-10-31,600887,29.80,29.55,30.23,29.22,811406.0,2409096192.0,25.06,22.51,19.94
2017-10-30,600887,30.15,30.36,30.41,29.35,639530.0,1916662784.0,24.92,22.41,19.88
2017-10-27,600887,29.52,30.19,30.29,28.85,753472.0,2223299840.0,24.75,22.31,19.82
2017-10-26,600887,29.91,29.74,31.22,29.46,861082.0,2610052096.0,24.59,22.20,19.77
2017-10-25,600887,29.76,29.79,29.90,29.44,308452.0,916905472.0,24.44,22.11,19.71
2017-10-24,600887,29.50,29.68,29.99,29.23,490807.0,1459586816.0,24.28,22.00,19.66
2017-10-23,600887,29.19,29.50,29.98,29.19,419779.0,1240436352.0,24.14,21.91,19.60
2017-10-20,600887,29.52,29.17,29.60,28.82,431234.0,1256745472.0,24.00,21.82,19.55
2017-10-19,600887,29.45,29.76,29.80,29.06,595004.0,1754685824.0,23.86,21.72,19.50
2017-10-18,600887,27.93,29.54,29.61,27.73,756970.0,2177767168.0,23.71,21.63,19.44
2017-10-17,600887,27.65,27.90,28.10,27.54,410749.0,1145269632.0,23.56,21.53,19.39
2017-10-16,600887,27.50,27.69,28.33,27.50,552214.0,1536567936.0,23.43,21.44,19.35
2017-10-13,600887,28.13,27.60,28.30,27.57,749575.0,2087852416.0,23.32,21.36,19.31
2017-10-12,600887,28.45,28.49,28.60,28.02,499048.0,1409747712.0,23.21,21.28,19.27
2017-10-11,600887,27.60,28.57,28.68,27.60,516256.0,1456355584.0,23.07,21.19,19.22
2017-10-10,600887,27.79,27.59,28.73,26.90,755259.0,2088629888.0,22.95,21.11,19.18
2017-10-09,600887,28.00,27.79,28.32,27.50,523705.0,1465020544.0,22.83,21.03,19.14
2017-09-29,600887,26.80,27.50,27.88,26.80,694549.0,1911553920.0,22.71,20.95,19.10
2017-09-28,600887,25.41,26.40,26.66,25.30,572901.0,1498688000.0,22.59,20.87,19.06
2017-09-27,600887,25.53,25.44,25.92,25.43,352097.0,903313344.0,22.50,20.80,19.02
2017-09-26,600887,25.78,25.80,25.89,25.28,357008.0,915139200.0,22.43,20.74,18.99
2017-09-25,600887,25.33,25.79,25.95,25.32,540604.0,1389581568.0,22.35,20.68,18.96
2017-09-22,600887,25.01,25.32,25.39,24.78,432055.0,1086000640.0,22.27,20.61,18.93
2017-09-21,600887,25.00,25.19,25.40,24.71,455245.0,1141632640.0,22.21,20.55,18.90
2017-09-20,600887,24.40,24.84,25.05,24.40,534017.0,1326043648.0,22.15,20.50,18.87
2017-09-19,600887,24.49,24.36,24.53,24.18,315512.0,767886912.0,22.08,20.44,18.84
2017-09-18,600887,24.24,24.38,24.71,24.07,441179.0,1080583168.0,22.03,20.39,18.81
2017-09-15,600887,23.60,24.24,24.37,23.56,568346.0,1370126464.0,21.97,20.34,18.78
2017-09-14,600887,23.60,23.58,23.69,23.30,283218.0,665842496.0,21.92,20.28,18.75
2017-09-13,600887,23.58,23.56,23.70,23.31,273119.0,642853824.0,21.87,20.23,18.73
2017-09-12,600887,23.38,23.50,23.56,23.22,296873.0,694645376.0,21.82,20.18,18.70
2017-09-11,600887,23.69,23.24,23.72,23.22,528361.0,1234408704.0,21.76,20.14,18.68
2017-09-08,600887,23.51,23.68,23.70,23.36,269446.0,634937024.0,21.70,20.09,18.66
2017-09-07,600887,24.00,23.46,24.00,23.45,390747.0,923990016.0,21.64,20.05,18.64
