---------------------------------main enter---------------------------
day 2010-02-12  close: 20.78  ma250: 1.37
day 2010-02-22  close: 22.86  ma250: 1.46
day 2010-02-23  close: 21.91  ma250: 1.54
day 2010-02-24  close: 22.30  ma250: 1.63
day 2010-02-25  close: 23.27  ma250: 1.71
day 2010-02-26  close: 22.54  ma250: 1.80
day 2010-03-02  close: 21.96  ma250: 1.88
day 2010-03-03  close: 22.03  ma250: 1.97
day 2010-03-04  close: 21.55  ma250: 2.05
day 2010-03-05  close: 21.88  ma250: 2.13
day 2010-03-08  close: 21.59  ma250: 2.21
day 2010-03-09  close: 21.53  ma250: 2.29
day 2010-03-10  close: 21.65  ma250: 2.38
day 2010-03-11  close: 23.08  ma250: 2.46
day 2010-03-12  close: 22.30  ma250: 2.55
day 2010-03-15  close: 22.96  ma250: 2.64
day 2010-03-16  close: 24.24  ma250: 2.73
day 2010-03-18  close: 24.42  ma250: 2.82
day 2010-03-19  close: 24.46  ma250: 2.92
day 2010-03-22  close: 23.90  ma250: 3.01
day 2010-03-23  close: 23.75  ma250: 3.10
day 2010-03-24  close: 23.54  ma250: 3.19
day 2010-03-25  close: 22.72  ma250: 3.27
day 2010-03-26  close: 23.15  ma250: 3.36
day 2010-03-29  close: 23.62  ma250: 3.45
day 2010-03-30  close: 23.38  ma250: 3.54
day 2010-03-31  close: 23.06  ma250: 3.63
day 2010-04-01  close: 23.38  ma250: 3.72
day 2010-04-02  close: 23.20  ma250: 3.81
day 2010-04-06  close: 23.16  ma250: 3.90
day 2010-04-07  close: 22.65  ma250: 3.99
day 2010-04-08  close: 22.27  ma250: 4.07
day 2010-04-09  close: 22.41  ma250: 4.16
day 2010-04-12  close: 21.92  ma250: 4.24
day 2010-04-13  close: 22.91  ma250: 4.33
day 2010-04-14  close: 22.63  ma250: 4.42
day 2010-04-15  close: 22.59  ma250: 4.50
day 2010-04-16  close: 21.97  ma250: 4.59
day 2010-04-19  close: 20.67  ma250: 4.67
day 2010-04-20  close: 20.12  ma250: 4.74
day 2010-04-21  close: 20.38  ma250: 4.82
day 2010-04-22  close: 19.84  ma250: 4.89
day 2010-04-23  close: 19.49  ma250: 4.97
day 2010-04-26  close: 19.10  ma250: 5.04
day 2010-04-27  close: 19.18  ma250: 5.11
day 2010-04-28  close: 19.31  ma250: 5.18
day 2010-04-29  close: 19.10  ma250: 5.26
day 2010-04-30  close: 19.54  ma250: 5.33
day 2010-05-04  close: 18.81  ma250: 5.40
day 2010-05-05  close: 18.90  ma250: 5.47
day 2010-05-06  close: 18.09  ma250: 5.54
day 2010-05-07  close: 16.71  ma250: 5.60
day 2010-05-10  close: 16.53  ma250: 5.66
day 2010-05-11  close: 15.19  ma250: 5.72
day 2010-05-12  close: 14.97  ma250: 5.77
day 2010-05-13  close: 15.19  ma250: 5.83
day 2010-05-14  close: 14.84  ma250: 5.89
day 2010-05-17  close: 13.44  ma250: 5.94
day 2010-05-18  close: 13.84  ma250: 5.99
day 2010-05-19  close: 13.70  ma250: 6.04
day 2010-05-20  close: 13.87  ma250: 6.09
day 2010-05-24  close: 15.26  ma250: 6.14
day 2010-05-25  close: 15.64  ma250: 6.20
day 2010-05-26  close: 15.39  ma250: 6.26
day 2010-05-27  close: 15.46  ma250: 6.32
day 2010-05-28  close: 15.13  ma250: 6.37
day 2010-05-31  close: 14.33  ma250: 6.42
day 2010-06-01  close: 14.37  ma250: 6.48
day 2010-06-02  close: 15.28  ma250: 6.53
day 2010-06-03  close: 14.73  ma250: 6.59
day 2010-06-04  close: 15.35  ma250: 6.64
day 2010-06-07  close: 14.92  ma250: 6.70
day 2010-06-08  close: 15.11  ma250: 6.76
day 2010-06-09  close: 15.83  ma250: 6.81
day 2010-06-10  close: 15.44  ma250: 6.87
day 2010-06-11  close: 15.32  ma250: 6.93
day 2010-06-17  close: 14.96  ma250: 6.98
day 2010-06-18  close: 14.33  ma250: 7.03
day 2010-06-21  close: 15.18  ma250: 7.09
day 2010-06-22  close: 15.11  ma250: 7.15
day 2010-06-23  close: 15.45  ma250: 7.20
day 2010-06-24  close: 15.29  ma250: 7.26
day 2010-06-25  close: 14.90  ma250: 7.31
day 2010-06-28  close: 14.85  ma250: 7.37
day 2010-06-29  close: 14.01  ma250: 7.42
day 2010-06-30  close: 13.40  ma250: 7.47
day 2010-07-01  close: 13.05  ma250: 7.52
day 2010-07-02  close: 13.06  ma250: 7.57
day 2010-07-05  close: 12.70  ma250: 7.61
day 2010-07-06  close: 12.95  ma250: 7.66
day 2010-07-07  close: 13.29  ma250: 7.71
day 2010-07-08  close: 13.01  ma250: 7.76
day 2010-07-09  close: 13.33  ma250: 7.80
day 2010-07-12  close: 13.40  ma250: 7.85
day 2010-07-13  close: 12.99  ma250: 7.90
day 2010-07-14  close: 13.13  ma250: 7.95
day 2010-07-15  close: 12.58  ma250: 7.99
day 2010-07-16  close: 12.33  ma250: 8.04
day 2010-07-19  close: 12.70  ma250: 8.08
day 2010-07-20  close: 13.45  ma250: 8.13
day 2010-07-21  close: 13.21  ma250: 8.18
day 2010-07-22  close: 13.53  ma250: 8.23
day 2010-07-23  close: 14.03  ma250: 8.28
day 2010-07-26  close: 13.86  ma250: 8.33
day 2010-07-27  close: 13.93  ma250: 8.39
day 2010-07-28  close: 14.35  ma250: 8.44
day 2010-08-03  close: 14.47  ma250: 8.49
day 2010-08-04  close: 14.31  ma250: 8.54
day 2010-08-05  close: 14.03  ma250: 8.60
day 2010-08-06  close: 14.57  ma250: 8.65
day 2010-08-09  close: 14.46  ma250: 8.70
day 2010-08-10  close: 13.60  ma250: 8.75
day 2010-08-11  close: 13.63  ma250: 8.80
day 2010-08-12  close: 13.18  ma250: 8.85
day 2010-08-13  close: 13.30  ma250: 8.90
day 2010-08-16  close: 13.80  ma250: 8.95
day 2010-08-17  close: 13.85  ma250: 9.00
day 2010-08-18  close: 13.83  ma250: 9.05
day 2010-08-19  close: 14.03  ma250: 9.11
day 2010-08-20  close: 13.36  ma250: 9.16
day 2010-08-23  close: 13.27  ma250: 9.20
day 2010-08-24  close: 13.36  ma250: 9.25
day 2010-08-25  close: 12.93  ma250: 9.30
day 2010-08-26  close: 13.03  ma250: 9.35
day 2010-08-27  close: 13.02  ma250: 9.40
day 2010-08-30  close: 13.39  ma250: 9.45
day 2010-08-31  close: 13.14  ma250: 9.49
day 2010-09-02  close: 13.23  ma250: 9.54
day 2010-09-03  close: 12.92  ma250: 9.59
day 2010-09-06  close: 14.21  ma250: 9.64
day 2010-09-07  close: 14.04  ma250: 9.70
day 2010-09-08  close: 13.95  ma250: 9.75
day 2010-09-09  close: 14.11  ma250: 9.80
day 2010-09-10  close: 13.93  ma250: 9.85
day 2010-09-13  close: 14.31  ma250: 9.90
day 2010-09-14  close: 14.42  ma250: 9.96
day 2010-09-15  close: 13.98  ma250: 10.01
day 2010-09-16  close: 14.58  ma250: 10.06
day 2010-09-17  close: 14.08  ma250: 10.12
day 2010-09-20  close: 13.65  ma250: 10.17
day 2010-09-21  close: 13.65  ma250: 10.22
day 2010-09-27  close: 13.73  ma250: 10.27
day 2010-09-28  close: 13.32  ma250: 10.32
day 2010-09-29  close: 13.28  ma250: 10.37
day 2010-09-30  close: 13.59  ma250: 10.42
day 2010-10-08  close: 14.77  ma250: 10.47
day 2010-10-11  close: 16.25  ma250: 10.53
day 2010-10-12  close: 17.42  ma250: 10.60
day 2010-10-13  close: 17.62  ma250: 10.66
day 2010-10-14  close: 19.39  ma250: 10.74
day 2010-10-15  close: 20.85  ma250: 10.82
day 2010-10-18  close: 21.09  ma250: 10.90
day 2010-10-19  close: 21.04  ma250: 10.98
day 2010-10-20  close: 23.14  ma250: 11.07
day 2010-10-21  close: 23.92  ma250: 11.16
day 2010-10-22  close: 23.06  ma250: 11.24
day 2010-10-25  close: 25.37  ma250: 11.34
day 2010-10-26  close: 24.82  ma250: 11.44
day 2010-10-27  close: 23.79  ma250: 11.53
day 2010-10-28  close: 24.37  ma250: 11.62
day 2010-10-29  close: 23.03  ma250: 11.71
day 2010-11-01  close: 23.91  ma250: 11.80
day 2010-11-02  close: 24.50  ma250: 11.89
day 2010-11-03  close: 24.83  ma250: 11.99
day 2010-11-04  close: 25.39  ma250: 12.08
day 2010-11-05  close: 26.03  ma250: 12.18
day 2010-11-08  close: 26.11  ma250: 12.28
day 2010-11-09  close: 25.34  ma250: 12.38
day 2010-11-10  close: 25.32  ma250: 12.48
day 2010-11-11  close: 25.37  ma250: 12.57
day 2010-11-12  close: 22.84  ma250: 12.66
day 2010-11-15  close: 22.19  ma250: 12.74
day 2010-11-16  close: 20.84  ma250: 12.82
day 2010-11-17  close: 20.65  ma250: 12.90
day 2010-11-18  close: 20.87  ma250: 12.98
day 2010-11-19  close: 21.52  ma250: 13.06
day 2010-11-22  close: 20.94  ma250: 13.14
day 2010-11-23  close: 20.09  ma250: 13.22
day 2010-11-24  close: 21.13  ma250: 13.30
day 2010-11-25  close: 21.43  ma250: 13.38
day 2010-11-26  close: 21.01  ma250: 13.46
day 2010-11-29  close: 20.39  ma250: 13.53
day 2010-11-30  close: 19.63  ma250: 13.61
day 2010-12-01  close: 19.60  ma250: 13.68
day 2010-12-02  close: 19.84  ma250: 13.76
day 2010-12-03  close: 19.82  ma250: 13.83
day 2010-12-06  close: 21.80  ma250: 13.92
day 2010-12-07  close: 22.76  ma250: 14.00
day 2010-12-08  close: 22.85  ma250: 14.09
day 2010-12-09  close: 22.30  ma250: 14.17
day 2010-12-10  close: 22.89  ma250: 14.26
day 2010-12-13  close: 23.80  ma250: 14.35
day 2010-12-14  close: 23.52  ma250: 14.44
day 2010-12-15  close: 23.44  ma250: 14.53
day 2010-12-16  close: 22.76  ma250: 14.62
day 2010-12-17  close: 22.62  ma250: 14.70
day 2010-12-20  close: 21.72  ma250: 14.79
day 2010-12-21  close: 23.42  ma250: 14.88
day 2010-12-22  close: 22.62  ma250: 14.96
day 2010-12-23  close: 22.69  ma250: 15.05
day 2010-12-24  close: 22.74  ma250: 15.14
day 2010-12-27  close: 23.13  ma250: 15.22
day 2010-12-28  close: 22.27  ma250: 15.31
day 2010-12-29  close: 21.77  ma250: 15.39
day 2010-12-30  close: 21.98  ma250: 15.47
day 2010-12-31  close: 23.13  ma250: 15.56
day 2011-01-04  close: 23.78  ma250: 15.65
day 2011-01-05  close: 23.26  ma250: 15.74
day 2011-01-06  close: 23.27  ma250: 15.83
day 2011-01-07  close: 23.39  ma250: 15.92
day 2011-01-10  close: 22.20  ma250: 16.00
day 2011-01-11  close: 22.31  ma250: 16.09
day 2011-01-12  close: 22.27  ma250: 16.17
